#Partially deleted in new
chr1	16518960	16519406
#Partially deleted in new
chr1	39576878	39577426
#Partially deleted in new
chr1	92910859	92911274
#Partially deleted in new
chr1	166001805	166002362
#Deleted in new
chr1	171064681	171064755
#Partially deleted in new
chr10	26374014	26374554
#Partially deleted in new
chr10	26375012	26375165
#Partially deleted in new
chr10	61147560	61147670
#Partially deleted in new
chr10	61147724	61147961
#Partially deleted in new
chr10	70097235	70097512
#Partially deleted in new
chr10	71347648	71347693
#Partially deleted in new
chr10	79766372	79767021
#Partially deleted in new
chr10	80138896	80139242
#Partially deleted in new
chr10	81430130	81430493
#Partially deleted in new
chr10	81559377	81559699
#Partially deleted in new
chr10	117845680	117846055
#Partially deleted in new
chr10	127381051	127381126
#Partially deleted in new
chr11	30268270	30268436
#Partially deleted in new
chr11	49901715	49901788
#Partially deleted in new
chr11	49901840	49902275
#Partially deleted in new
chr11	53350512	53350969
#Deleted in new
chr11	54807127	54807258
#Partially deleted in new
chr11	60417293	60417680
#Partially deleted in new
chr11	73018796	73018883
#Partially deleted in new
chr11	75966513	75966973
#Partially deleted in new
chr11	119085926	119086244
#Partially deleted in new
chr12	4476649	4477192
#Partially deleted in new
chr12	4477283	4477339
#Partially deleted in new
chr12	24651338	24651518
#Partially deleted in new
chr12	103532425	103532761
#Partially deleted in new
chr12	113185786	113186217
#Partially deleted in new
chr13	9764104	9765050
#Partially deleted in new
chr13	13784413	13784841
#Partially deleted in new
chr13	43480892	43481491
#Partially deleted in new
chr13	44729942	44730456
#Partially deleted in new
chr13	45002171	45002228
#Partially deleted in new
chr13	47105806	47106158
#Partially deleted in new
chr13	51100738	51100770
#Partially deleted in new
chr13	51793390	51793727
#Partially deleted in new
chr13	55445360	55445612
#Partially deleted in new
chr13	58128658	58128901
#Partially deleted in new
chr13	58358768	58359120
#Partially deleted in new
chr13	93499398	93499971
#Partially deleted in new
chr13	100651358	100651681
#Partially deleted in new
chr13	107022197	107022216
#Partially deleted in new
chr13	107022486	107022549
#Partially deleted in new
chr13	119428159	119429509
#Partially deleted in new
chr13	119488220	119488415
#Partially deleted in new
chr14	30715935	30716615
#Partially deleted in new
chr14	49172162	49172482
#Partially deleted in new
chr14	55491002	55491308
#Partially deleted in new
chr14	70519850	70520187
#Partially deleted in new
chr14	87416532	87417060
#Partially deleted in new
chr14	87417098	87417224
#Partially deleted in new
chr14	104467426	104468077
#Partially deleted in new
chr14	104468139	104468380
#Partially deleted in new
chr14	115041924	115042039
#Partially deleted in new
chr14	120478270	120478308
#Partially deleted in new
chr14	121378880	121379249
#Deleted in new
chr15	6872602	6872673
#Partially deleted in new
chr15	31530669	31530694
#Partially deleted in new
chr15	31530735	31531059
#Partially deleted in new
chr15	31531111	31531311
#Partially deleted in new
chr15	38078344	38078865
#Partially deleted in new
chr15	63997833	63998146
#Partially deleted in new
chr15	64060075	64060434
#Partially deleted in new
chr15	73422864	73423179
#Partially deleted in new
chr15	73724597	73724690
#Partially deleted in new
chr15	73748417	73748624
#Partially deleted in new
chr15	75748008	75748244
#Partially deleted in new
chr15	76009364	76009761
#Partially deleted in new
chr15	76069265	76069639
#Partially deleted in new
chr15	81745277	81745620
#Partially deleted in new
chr15	85735306	85735354
#Partially deleted in new
chr15	85821529	85821871
#Partially deleted in new
chr15	88863619	88863930
#Partially deleted in new
chr15	98609150	98609540
#Partially deleted in new
